Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
7,MC_SC_17_s01R_1,1,9,5,False,False,False,True,False,0,20,33,0,3,0,0,2,2,10,3,0,5,5437.0
11,MC_SC_17_s01R_2,1,6,4,False,False,False,True,False,0,3,7,0,14,2,5,0,0,11,4,1,0,2495.0
14,MC_SC_17_s01R_3,1,6,3,False,False,False,True,False,0,61,28,14,201,2,1,0,1,23,7,3,0,3552.0
23,MC_SC_17_s01R_4,1,7,4,False,False,False,True,False,0,99,32,0,24,0,17,17,12,267,17,1,13,6448.0
24,MC_SC_17_s01R_5,1,9,6,False,False,True,False,False,0,15,5,7,12,3,16,4,7,20,5,13,1,1398.0
26,MC_SC_17_s01R_6,1,5,3,False,False,False,True,False,0,34,27,4,58,2,6,1,2,66,16,0,0,3172.0
44,MC_SC_17_s01R_7,1,8,5,False,False,False,True,False,5,27,18,10,53,0,18,3,3,134,10,4,7,3358.0
53,MC_SC_17_s01R_8,1,8,5,False,False,True,False,False,41,23,19,4,15,0,0,1,0,7,7,2,11,1545.0
66,MC_SC_17_s01R_9,1,9,6,False,False,True,False,False,33,22,22,0,38,0,1,4,0,7,4,0,2,1734.0
96,MC_SC_17_s01R_10,1,5,4,False,False,True,False,False,55,5,11,0,29,1,2,1,0,16,8,1,2,2588.0
106,MC_SC_17_s01R_11,1,8,5,False,False,False,True,False,0,8,9,0,12,0,0,1,0,43,0,3,0,1572.0
126,MC_SC_17_s01R_12,1,8,5,False,False,False,True,False,0,30,24,1,6,0,0,0,0,33,3,0,1,1435.0
136,MC_SC_17_s01R_13,1,6,4,False,False,False,True,False,0,37,36,0,6,0,2,4,3,3,7,5,7,1374.0
152,MC_SC_17_s01R_14,1,7,5,False,False,True,False,False,2,37,41,43,111,1,0,18,3,69,13,2,8,3174.0
156,MC_SC_17_s01R_15,1,9,7,False,False,False,True,False,3,9,7,0,5,0,6,3,2,12,3,1,3,1754.0
174,MC_SC_17_s01R_16,2,6,4,False,False,False,True,False,4,15,6,6,5,0,2,0,3,10,2,9,5,2208.0
178,MC_SC_17_s01R_17,2,5,4,False,False,False,True,False,0,35,3,0,2,0,2,0,1,17,4,8,0,1494.0
179,MC_SC_17_s01R_18,2,8,3,False,False,True,False,False,36,20,21,12,37,6,9,3,0,13,7,2,6,1909.0
181,MC_SC_17_s01R_19,2,10,6,False,False,False,True,False,1,45,7,0,12,1,2,4,1,28,8,2,0,2514.0
183,MC_SC_17_s01R_20,2,8,5,False,False,False,True,False,2,32,13,4,44,0,0,5,0,68,4,0,0,2529.0
189,MC_SC_17_s01R_21,2,6,4,False,False,True,False,False,26,7,10,0,5,0,3,1,1,0,1,3,3,996.0
