Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp,dtom,slc17a6,slc32a1,slc5a7,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3,Area
1,MC_SC_17_s03L_1,2,10,6,False,False,False,False,True,46,1,16,0,14,4,70,4,4,145,1,0,0,4162.0
2,MC_SC_17_s03L_2,3,10,4,False,False,True,False,False,0,0,23,0,8,0,0,1,3,6,1,0,0,1913.0
3,MC_SC_17_s03L_3,3,6,4,False,False,True,False,False,40,1,13,1,31,1,3,1,1,6,5,0,0,1468.0
4,MC_SC_17_s03L_4,3,7,5,False,False,True,False,False,4,5,9,0,5,2,5,1,6,24,1,0,0,1554.0
5,MC_SC_17_s03L_5,3,7,5,False,False,False,True,False,0,12,5,0,2,8,17,1,10,117,11,1,4,3631.0
6,MC_SC_17_s03L_6,3,7,5,False,False,True,False,False,33,5,10,6,46,2,23,0,0,25,1,2,9,1479.0
7,MC_SC_17_s03L_7,3,6,4,False,False,False,True,False,0,1,11,0,48,0,0,0,1,20,0,1,0,1490.0
8,MC_SC_17_s03L_8,3,6,4,False,False,False,True,False,0,2,19,0,88,0,0,0,5,56,3,0,0,2065.0
9,MC_SC_17_s03L_9,3,6,3,False,False,False,True,False,2,0,10,0,57,0,13,0,1,35,1,0,0,1351.0
10,MC_SC_17_s03L_10,3,6,5,False,False,False,True,False,1,3,41,0,5,4,25,1,8,114,8,1,2,2289.0
11,MC_SC_17_s03L_11,3,7,4,False,True,False,False,True,6,0,25,0,2,0,12,0,1,7,2,0,0,2066.0
12,MC_SC_17_s03L_12,3,5,4,False,False,False,True,False,0,2,12,0,73,3,8,3,4,55,6,4,0,1746.0
14,MC_SC_17_s03L_13,4,4,3,False,False,True,False,False,2,2,4,0,6,0,0,0,1,14,0,0,0,1761.0
16,MC_SC_17_s03L_14,4,7,5,False,False,False,True,False,0,3,8,0,6,1,1,0,0,5,3,0,1,1993.0
17,MC_SC_17_s03L_15,4,4,3,False,False,True,False,False,9,1,3,0,0,0,0,0,0,12,0,0,0,1925.0
19,MC_SC_17_s03L_16,4,5,3,False,False,True,False,False,6,8,14,0,3,0,0,0,2,3,0,0,0,1818.0
20,MC_SC_17_s03L_17,4,4,3,False,False,True,False,False,2,1,0,0,0,0,0,0,0,1,0,0,0,937.0
21,MC_SC_17_s03L_18,4,7,3,False,False,True,False,False,5,10,15,0,13,3,0,2,1,54,8,0,0,4032.0
22,MC_SC_17_s03L_19,4,5,4,False,False,True,False,False,3,6,8,0,16,0,14,0,0,10,1,0,0,2170.0
23,MC_SC_17_s03L_20,4,4,3,False,False,False,True,False,0,2,2,0,0,0,2,0,0,0,1,0,0,929.0
24,MC_SC_17_s03L_21,4,7,5,False,False,True,False,False,50,0,3,2,12,0,2,0,0,20,1,1,0,1100.0
25,MC_SC_17_s03L_22,4,4,2,False,False,False,True,False,0,0,5,0,0,0,0,0,0,4,0,0,0,1435.0
26,MC_SC_17_s03L_23,4,5,3,False,False,True,False,False,49,0,2,2,14,1,3,2,0,1,2,0,0,1428.0
27,MC_SC_17_s03L_24,4,5,3,False,False,True,False,False,0,0,2,1,5,0,4,0,0,3,2,1,2,1355.0
28,MC_SC_17_s03L_25,4,5,4,False,False,True,False,False,38,2,4,2,19,0,5,0,0,5,3,0,0,1678.0
29,MC_SC_17_s03L_26,4,6,4,False,True,False,True,False,0,3,10,0,6,3,12,0,0,5,1,1,0,1633.0
31,MC_SC_17_s03L_27,4,5,3,False,False,False,True,False,2,8,15,2,0,0,0,0,0,27,4,2,1,3605.0
33,MC_SC_17_s03L_28,4,6,3,False,False,True,False,False,45,2,2,0,15,1,0,4,0,17,2,0,1,1915.0
34,MC_SC_17_s03L_29,4,7,3,False,False,False,True,False,1,4,12,0,10,0,0,0,3,24,4,0,1,1882.0
35,MC_SC_17_s03L_30,4,4,3,False,False,False,True,False,0,2,4,0,2,0,0,0,1,9,1,1,1,1369.0
36,MC_SC_17_s03L_31,4,3,2,False,False,True,False,False,23,3,1,7,18,1,0,0,0,2,0,1,0,907.0
37,MC_SC_17_s03L_32,4,6,4,False,False,True,False,False,1,8,7,3,52,0,1,0,5,9,4,0,1,2414.0
