Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,egfp_b,dtom_b,slc17a6_b,slc32a1_b,slc5a7_b,phox2b,ralyl,tenm2,ebf3,pcp4,tshz2,alcam,celf2,meis2,rph3a,robo1,syt1,zfhx3
1,MC_SC_17_s03L_1,2,10,6,False,False,False,False,True,87,29,60,5,18,48,270,43,70,267,32,21,26
2,MC_SC_17_s03L_2,3,10,4,False,False,True,False,False,0,3,95,12,31,8,1,8,58,14,4,9,3
3,MC_SC_17_s03L_3,3,6,4,False,False,True,False,False,74,26,55,11,61,10,46,15,45,27,47,5,14
4,MC_SC_17_s03L_4,3,7,5,False,False,True,False,False,7,59,42,5,8,14,27,23,60,46,16,13,5
5,MC_SC_17_s03L_5,3,7,5,False,False,False,True,False,1,95,16,9,4,161,106,42,172,241,101,18,49
6,MC_SC_17_s03L_6,3,7,5,False,False,True,False,False,74,45,39,71,88,24,73,27,2,46,33,31,68
7,MC_SC_17_s03L_7,3,6,4,False,False,False,True,False,0,16,49,0,103,24,2,5,40,39,24,7,5
8,MC_SC_17_s03L_8,3,6,4,False,False,False,True,False,1,18,71,1,161,14,3,12,87,99,41,4,6
9,MC_SC_17_s03L_9,3,6,3,False,False,False,True,False,3,10,37,1,70,8,38,10,41,42,37,0,1
10,MC_SC_17_s03L_10,3,6,5,False,False,False,True,False,1,31,136,8,9,46,120,27,119,176,62,18,77
11,MC_SC_17_s03L_11,3,7,4,False,True,False,False,True,10,4,100,1,2,5,100,7,13,47,13,0,8
12,MC_SC_17_s03L_12,3,5,4,False,False,False,True,False,0,26,55,5,131,35,51,34,62,96,61,37,0
14,MC_SC_17_s03L_13,4,4,3,False,False,True,False,False,9,24,36,2,9,22,5,1,27,25,5,2,5
16,MC_SC_17_s03L_14,4,7,5,False,False,False,True,False,0,12,18,3,15,22,12,4,20,6,38,11,25
17,MC_SC_17_s03L_15,4,4,3,False,False,True,False,False,13,14,18,3,0,2,1,9,7,18,4,0,6
19,MC_SC_17_s03L_16,4,5,3,False,False,True,False,False,10,85,72,3,4,7,1,5,20,0,11,0,2
20,MC_SC_17_s03L_17,4,4,3,False,False,True,False,False,2,14,10,0,0,1,1,0,3,0,6,2,21
21,MC_SC_17_s03L_18,4,7,3,False,False,True,False,False,14,194,83,6,33,27,31,32,89,117,67,10,13
22,MC_SC_17_s03L_19,4,5,4,False,False,True,False,False,4,71,22,1,20,0,70,15,50,9,17,4,6
23,MC_SC_17_s03L_20,4,4,3,False,False,False,True,False,0,15,12,0,0,5,24,0,4,0,16,13,0
24,MC_SC_17_s03L_21,4,7,5,False,False,True,False,False,78,8,15,18,27,8,19,4,12,36,16,12,20
25,MC_SC_17_s03L_22,4,4,2,False,False,False,True,False,0,1,20,0,0,0,1,1,3,2,4,0,1
26,MC_SC_17_s03L_23,4,5,3,False,False,True,False,False,99,12,13,24,27,20,25,15,5,6,27,3,6
27,MC_SC_17_s03L_24,4,5,3,False,False,True,False,False,1,4,10,15,15,9,20,0,0,8,18,12,25
28,MC_SC_17_s03L_25,4,5,4,False,False,True,False,False,61,14,16,20,34,10,20,5,5,7,23,13,12
29,MC_SC_17_s03L_26,4,6,4,False,True,False,True,False,0,35,38,1,8,54,62,15,47,7,14,17,8
31,MC_SC_17_s03L_27,4,5,3,False,False,False,True,False,3,83,57,9,2,42,8,15,24,67,52,16,29
33,MC_SC_17_s03L_28,4,6,3,False,False,True,False,False,94,26,10,3,28,16,8,34,4,27,22,23,35
34,MC_SC_17_s03L_29,4,7,3,False,False,False,True,False,4,44,46,4,26,1,17,10,54,61,34,22,50
35,MC_SC_17_s03L_30,4,4,3,False,False,False,True,False,0,20,26,2,2,21,4,6,30,12,15,32,15
36,MC_SC_17_s03L_31,4,3,2,False,False,True,False,False,39,18,15,27,25,5,10,8,1,1,2,17,10
37,MC_SC_17_s03L_32,4,6,4,False,False,True,False,False,8,97,41,38,72,5,22,15,74,10,45,6,23
