Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3
1,MC_SC_17_s03L_1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,MC_SC_17_s03L_2,1,6,4,110,16,30,44,0,3,16,24,15,8,14,24,43,63,45,38
3,MC_SC_17_s03L_3,1,4,4,1,2,3,21,0,42,13,1,0,4,1,2,5,0,3,0
4,MC_SC_17_s03L_4,1,10,5,0,0,13,18,1,20,2,0,0,14,13,17,0,4,0,0
5,MC_SC_17_s03L_5,1,7,6,4,31,15,62,2,475,16,33,3,66,11,41,6,0,0,8
6,MC_SC_17_s03L_6,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,47,2,7,4
7,MC_SC_17_s03L_7,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MC_SC_17_s03L_8,1,8,5,99,46,110,122,5,40,95,10,0,16,55,164,108,116,4,49
9,MC_SC_17_s03L_9,2,12,8,85,0,8,61,11,7,26,13,3,13,11,28,4,21,0,3
10,MC_SC_17_s03L_10,2,3,2,0,6,0,8,4,0,49,1,2,6,15,2,0,0,0,0
11,MC_SC_17_s03L_11,2,5,3,81,4,35,21,0,26,41,4,1,0,20,29,4,3,0,4
12,MC_SC_17_s03L_12,2,6,3,61,35,42,58,4,31,90,5,1,4,13,45,21,45,0,13
13,MC_SC_17_s03L_13,2,7,4,148,13,98,106,2,23,64,0,2,7,27,102,46,50,4,40
14,MC_SC_17_s03L_14,2,7,4,3,31,3,98,8,31,250,1,2,30,43,198,98,62,6,56
15,MC_SC_17_s03L_15,2,5,4,43,23,74,83,0,21,54,10,1,3,23,31,14,45,0,6
16,MC_SC_17_s03L_16,2,2,2,5,0,0,9,0,0,0,0,0,2,1,0,0,0,0,0
17,MC_SC_17_s03L_17,2,5,3,81,44,31,19,0,8,57,8,1,6,29,45,19,13,1,10
18,MC_SC_17_s03L_18,2,8,5,16,58,6,69,47,121,255,31,14,17,28,105,50,14,6,7
19,MC_SC_17_s03L_19,2,7,5,0,6,1,89,0,0,101,3,11,5,15,13,36,12,3,11
20,MC_SC_17_s03L_20,2,6,4,90,6,35,39,0,0,5,2,0,1,13,36,13,6,0,0
21,MC_SC_17_s03L_21,2,8,5,192,35,112,112,9,80,99,22,5,51,127,292,138,169,46,25
22,MC_SC_17_s03L_22,2,6,4,0,25,0,75,5,5,94,7,1,21,61,91,83,29,4,7
23,MC_SC_17_s03L_23,2,7,4,1,0,0,40,2,0,0,0,2,2,0,0,0,0,0,2
24,MC_SC_17_s03L_24,2,4,4,1,38,35,81,5,7,0,5,0,0,3,1,3,0,0,0
