Mask ID,Cell ID,Z-plane,Z-span,Principal Plane,phox2b,ralyl,slc17a6,tenm2,ebf3,pcp4,slc32a1,tshz2,alcam,celf2,meis2,rph3a,robo1,slc5a7,syt1,zfhx3,Area
1,MC_SC_17_s03L_1,1,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5790.0
2,MC_SC_17_s03L_2,1,6,4,43,2,17,12,0,1,1,9,7,2,3,25,6,12,7,6,1569.0
3,MC_SC_17_s03L_3,1,4,4,0,0,4,7,0,28,3,1,0,1,1,1,0,0,1,0,1121.0
4,MC_SC_17_s03L_4,1,10,5,0,0,9,5,0,9,0,0,0,1,1,17,0,0,0,0,1243.0
5,MC_SC_17_s03L_5,1,7,6,2,2,2,15,0,284,4,2,0,4,0,25,1,0,0,1,3876.0
6,MC_SC_17_s03L_6,1,1,1,0,0,1,0,0,0,0,0,0,1,7,0,5,1,1,1,3183.0
7,MC_SC_17_s03L_7,1,1,1,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2581.0
8,MC_SC_17_s03L_8,1,8,5,48,6,53,38,0,23,34,0,0,0,8,140,4,12,0,3,5013.0
9,MC_SC_17_s03L_9,2,12,8,49,0,0,37,0,8,6,0,2,0,0,26,0,1,0,0,3739.0
10,MC_SC_17_s03L_10,2,3,2,0,3,0,4,0,0,9,2,2,1,8,9,0,0,0,0,559.0
11,MC_SC_17_s03L_11,2,5,3,29,1,16,7,0,22,12,1,1,0,11,23,0,1,0,0,2119.0
12,MC_SC_17_s03L_12,2,6,3,17,1,11,18,0,23,21,3,1,0,9,48,0,12,0,0,3806.0
13,MC_SC_17_s03L_13,2,7,4,64,0,40,26,0,15,20,0,1,1,2,92,1,1,0,1,2658.0
14,MC_SC_17_s03L_14,2,7,4,1,3,1,29,0,13,72,0,1,2,8,144,4,5,1,8,3818.0
15,MC_SC_17_s03L_15,2,5,4,27,1,31,22,0,19,18,2,0,0,5,45,0,4,0,1,3865.0
16,MC_SC_17_s03L_16,2,2,2,1,0,0,3,0,0,0,0,2,0,1,1,0,0,0,0,2292.0
17,MC_SC_17_s03L_17,2,5,3,36,10,14,4,0,6,12,4,0,0,20,58,0,4,0,1,3337.0
18,MC_SC_17_s03L_18,2,8,5,0,3,1,14,1,51,80,3,1,0,2,34,2,1,1,0,2597.0
19,MC_SC_17_s03L_19,2,7,5,0,0,0,22,0,0,20,0,1,0,1,5,2,0,0,2,2039.0
20,MC_SC_17_s03L_20,2,6,4,42,0,15,12,0,0,3,0,0,0,3,45,0,1,0,0,1770.0
21,MC_SC_17_s03L_21,2,8,5,88,4,11,28,0,24,31,0,0,3,5,108,6,15,5,2,6182.0
22,MC_SC_17_s03L_22,2,6,4,0,2,1,25,0,7,26,0,0,1,11,95,3,1,0,1,2841.0
23,MC_SC_17_s03L_23,2,7,4,0,0,0,11,0,0,0,0,1,0,0,1,0,0,0,0,2157.0
24,MC_SC_17_s03L_24,2,4,4,1,4,16,24,0,5,0,0,0,0,0,4,0,0,0,0,1867.0
25,MC_SC_17_s03L_25,2,4,3,0,1,3,9,0,0,0,0,1,0,0,0,0,0,0,0,834.0
26,MC_SC_17_s03L_26,2,9,6,1,0,1,62,2,162,112,2,40,0,0,5,0,5,1,0,3421.0
27,MC_SC_17_s03L_27,2,6,4,43,1,8,10,0,28,3,0,1,0,3,54,0,0,0,2,1796.0
28,MC_SC_17_s03L_28,2,10,6,0,0,2,13,3,139,76,0,18,2,0,7,4,1,1,0,3412.0
29,MC_SC_17_s03L_29,2,6,6,2,4,1,12,3,172,30,0,0,2,3,64,5,8,0,0,4416.0
30,MC_SC_17_s03L_30,2,4,3,1,5,5,19,1,120,7,13,4,2,27,72,0,0,0,0,2787.0
