# metadata = MapMyCellsInput_10xWholeMouseBrain(CCN20230722)_HierarchicalMapping_UTC_1777211802468.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_SUPT", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "supertype", "cluster"]
# algorithm: 'hierarchical'; codebase: http://github.com/AllenInstitute/cell_type_mapper; version: 1.6.0
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,supertype_label,supertype_name,supertype_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
MC_SC_17_s03L_1,CS20230722_CLAS_01,01 IT-ET Glut,0.3500,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.2000,CS20230722_SUPT_0028,0028 L4/5 IT CTX Glut_6,0.2500,CS20230722_CLUS_0100,0100 L4/5 IT CTX Glut_6,188,0.1400
MC_SC_17_s03L_2,CS20230722_CLAS_01,01 IT-ET Glut,0.9700,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.5900,CS20230722_SUPT_0048,0048 IT AON-TT-DP Glut_3,0.4500,CS20230722_CLUS_0175,0175 IT AON-TT-DP Glut_3,294,0.2700
MC_SC_17_s03L_3,CS20230722_CLAS_24,24 MY Glut,0.4500,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.2400,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.3300,CS20230722_CLUS_4291,4291 NTS Phox2b Glut_8,4263,0.1600
MC_SC_17_s03L_4,CS20230722_CLAS_01,01 IT-ET Glut,0.3800,CS20230722_SUBC_012,012 MEA Slc17a7 Glut,0.2700,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,0.8800,CS20230722_CLUS_0206,0206 MEA Slc17a7 Glut_2,2548,0.3300
MC_SC_17_s03L_5,CS20230722_CLAS_01,01 IT-ET Glut,0.6300,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.2700,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.8100,CS20230722_CLUS_0108,0108 L2/3 IT CTX Glut_2,150,0.4300
MC_SC_17_s03L_6,CS20230722_CLAS_24,24 MY Glut,0.4600,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.2900,CS20230722_SUPT_0959,0959 NTS Phox2b Glut_1,0.5800,CS20230722_CLUS_4235,4235 NTS Phox2b Glut_1,15002,0.1800
MC_SC_17_s03L_7,CS20230722_CLAS_01,01 IT-ET Glut,0.8400,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.4100,CS20230722_SUPT_0050,0050 IT AON-TT-DP Glut_5,0.5000,CS20230722_CLUS_0185,0185 IT AON-TT-DP Glut_5,287,0.3600
MC_SC_17_s03L_8,CS20230722_CLAS_01,01 IT-ET Glut,0.9700,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.3200,CS20230722_SUPT_0050,0050 IT AON-TT-DP Glut_5,0.2200,CS20230722_CLUS_0184,0184 IT AON-TT-DP Glut_5,281,0.1700
MC_SC_17_s03L_9,CS20230722_CLAS_01,01 IT-ET Glut,0.4000,CS20230722_SUBC_004,004 L6 IT CTX Glut,0.2800,CS20230722_SUPT_0017,0017 L6 IT CTX Glut_5,0.3500,CS20230722_CLUS_0054,0054 L6 IT CTX Glut_5,110,0.3500
MC_SC_17_s03L_10,CS20230722_CLAS_01,01 IT-ET Glut,0.3600,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.3400,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.8500,CS20230722_CLUS_0108,0108 L2/3 IT CTX Glut_2,150,0.7000
MC_SC_17_s03L_11,CS20230722_CLAS_01,01 IT-ET Glut,0.2900,CS20230722_SUBC_017,017 CA3 Glut,0.2200,CS20230722_SUPT_0078,0078 CA3 Glut_4,0.5400,CS20230722_CLUS_0314,0314 CA3 Glut_4,420,0.2100
MC_SC_17_s03L_12,CS20230722_CLAS_01,01 IT-ET Glut,0.6300,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.2300,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.9300,CS20230722_CLUS_0108,0108 L2/3 IT CTX Glut_2,150,0.6700
MC_SC_17_s03L_13,CS20230722_CLAS_01,01 IT-ET Glut,0.5300,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.7700,CS20230722_SUPT_0050,0050 IT AON-TT-DP Glut_5,0.4200,CS20230722_CLUS_0185,0185 IT AON-TT-DP Glut_5,287,0.3500
MC_SC_17_s03L_14,CS20230722_CLAS_01,01 IT-ET Glut,0.7300,CS20230722_SUBC_012,012 MEA Slc17a7 Glut,0.2300,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,0.8100,CS20230722_CLUS_0208,0208 MEA Slc17a7 Glut_2,259,0.3100
MC_SC_17_s03L_15,CS20230722_CLAS_01,01 IT-ET Glut,0.4800,CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,0.2300,CS20230722_SUPT_0045,0045 L2/3 IT PIR-ENTl Glut_7,0.3000,CS20230722_CLUS_0165,0165 L2/3 IT PIR-ENTl Glut_7,270,0.2900
MC_SC_17_s03L_16,CS20230722_CLAS_24,24 MY Glut,0.4700,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.4400,CS20230722_SUPT_0961,0961 NTS Phox2b Glut_3,0.3100,CS20230722_CLUS_4254,4254 NTS Phox2b Glut_3,3956,0.2900
MC_SC_17_s03L_17,CS20230722_CLAS_01,01 IT-ET Glut,0.4500,CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,0.2300,CS20230722_SUPT_0040,0040 L2/3 IT PIR-ENTl Glut_2,0.3200,CS20230722_CLUS_0144,0144 L2/3 IT PIR-ENTl Glut_2,271,0.2700
MC_SC_17_s03L_18,CS20230722_CLAS_24,24 MY Glut,0.4700,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.2600,CS20230722_SUPT_0962,0962 NTS Phox2b Glut_4,0.2400,CS20230722_CLUS_4265,4265 NTS Phox2b Glut_4,3964,0.2000
MC_SC_17_s03L_19,CS20230722_CLAS_01,01 IT-ET Glut,0.4800,CS20230722_SUBC_012,012 MEA Slc17a7 Glut,0.1800,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,0.7900,CS20230722_CLUS_0201,0201 MEA Slc17a7 Glut_2,480,0.2600
MC_SC_17_s03L_20,CS20230722_CLAS_01,01 IT-ET Glut,0.8400,CS20230722_SUBC_017,017 CA3 Glut,0.3700,CS20230722_SUPT_0077,0077 CA3 Glut_3,0.4600,CS20230722_CLUS_0311,0311 CA3 Glut_3,416,0.2800
MC_SC_17_s03L_21,CS20230722_CLAS_24,24 MY Glut,0.5100,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3800,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.3800,CS20230722_CLUS_4291,4291 NTS Phox2b Glut_8,4263,0.3200
MC_SC_17_s03L_22,CS20230722_CLAS_01,01 IT-ET Glut,0.8400,CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,0.2500,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,0.9000,CS20230722_CLUS_0002,0002 CLA-EPd-CTX Car3 Glut_1,129,0.6100
MC_SC_17_s03L_23,CS20230722_CLAS_24,24 MY Glut,0.5400,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3000,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.4800,CS20230722_CLUS_4291,4291 NTS Phox2b Glut_8,4263,0.2700
MC_SC_17_s03L_24,CS20230722_CLAS_01,01 IT-ET Glut,0.6900,CS20230722_SUBC_012,012 MEA Slc17a7 Glut,0.3900,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,0.8300,CS20230722_CLUS_0201,0201 MEA Slc17a7 Glut_2,480,0.3100
MC_SC_17_s03L_25,CS20230722_CLAS_24,24 MY Glut,0.5700,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3000,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.4900,CS20230722_CLUS_4291,4291 NTS Phox2b Glut_8,4263,0.3700
MC_SC_17_s03L_26,CS20230722_CLAS_01,01 IT-ET Glut,0.6300,CS20230722_SUBC_012,012 MEA Slc17a7 Glut,0.2200,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,0.8400,CS20230722_CLUS_0208,0208 MEA Slc17a7 Glut_2,259,0.2200
MC_SC_17_s03L_27,CS20230722_CLAS_24,24 MY Glut,0.2700,CS20230722_SUBC_247,247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,0.3300,CS20230722_SUPT_0992,0992 MV-SPIV Phox2b Ebf3 Lbx1 Glut_1,0.7500,CS20230722_CLUS_4479,4479 MV-SPIV Phox2b Ebf3 Lbx1 Glut_1,4315,0.3600
MC_SC_17_s03L_28,CS20230722_CLAS_24,24 MY Glut,0.4000,CS20230722_SUBC_251,251 NTS Dbh Glut,0.3400,CS20230722_SUPT_1005,1005 NTS Dbh Glut_2,0.5600,CS20230722_CLUS_4541,4541 NTS Dbh Glut_2,3958,0.2200
MC_SC_17_s03L_29,CS20230722_CLAS_01,01 IT-ET Glut,0.3500,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.3500,CS20230722_SUPT_0047,0047 IT AON-TT-DP Glut_2,0.3000,CS20230722_CLUS_0174,0174 IT AON-TT-DP Glut_2,290,0.2100
MC_SC_17_s03L_30,CS20230722_CLAS_01,01 IT-ET Glut,0.8400,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.2900,CS20230722_SUPT_0047,0047 IT AON-TT-DP Glut_2,0.3000,CS20230722_CLUS_0174,0174 IT AON-TT-DP Glut_2,290,0.2200
MC_SC_17_s03L_31,CS20230722_CLAS_24,24 MY Glut,0.4700,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3900,CS20230722_SUPT_0968,0968 NTS Phox2b Glut_10,0.3100,CS20230722_CLUS_4306,4306 NTS Phox2b Glut_10,4149,0.3100
MC_SC_17_s03L_32,CS20230722_CLAS_23,23 P Glut,0.2600,CS20230722_SUBC_229,229 PB-NTS Phox2b Ebf3 Lmx1b Glut,0.4000,CS20230722_SUPT_0944,0944 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,0.6200,CS20230722_CLUS_4164,4164 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,4303,0.2500
MC_SC_17_s03L_33,CS20230722_CLAS_24,24 MY Glut,0.4000,CS20230722_SUBC_252,252 DMX VII Tbx20 Chol,0.4600,CS20230722_SUPT_1011,1011 DMX VII Tbx20 Chol_2,0.3700,CS20230722_CLUS_4556,4556 DMX VII Tbx20 Chol_2,4174,0.3700
MC_SC_17_s03L_34,CS20230722_CLAS_01,01 IT-ET Glut,0.4300,CS20230722_SUBC_017,017 CA3 Glut,0.3700,CS20230722_SUPT_0075,0075 CA3 Glut_1,0.4100,CS20230722_CLUS_0300,0300 CA3 Glut_1,431,0.2400
MC_SC_17_s03L_35,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.4800,CS20230722_SUPT_0048,0048 IT AON-TT-DP Glut_3,0.4400,CS20230722_CLUS_0175,0175 IT AON-TT-DP Glut_3,294,0.2700
MC_SC_17_s03L_36,CS20230722_CLAS_01,01 IT-ET Glut,0.4500,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.3300,CS20230722_SUPT_0049,0049 IT AON-TT-DP Glut_4,0.4400,CS20230722_CLUS_0179,0179 IT AON-TT-DP Glut_4,282,0.4300
MC_SC_17_s03L_37,CS20230722_CLAS_24,24 MY Glut,0.5400,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3900,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.2000,CS20230722_CLUS_4294,4294 NTS Phox2b Glut_8,4253,0.1000
MC_SC_17_s03L_38,CS20230722_CLAS_23,23 P Glut,0.1700,CS20230722_SUBC_229,229 PB-NTS Phox2b Ebf3 Lmx1b Glut,0.3300,CS20230722_SUPT_0944,0944 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,0.4400,CS20230722_CLUS_4164,4164 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,4303,0.3100
MC_SC_17_s03L_39,CS20230722_CLAS_01,01 IT-ET Glut,0.8400,CS20230722_SUBC_022,022 L5 ET CTX Glut,0.5400,CS20230722_SUPT_0093,0093 L5 ET CTX Glut_4,0.6800,CS20230722_CLUS_0371,0371 L5 ET CTX Glut_4,394,0.3000
MC_SC_17_s03L_40,CS20230722_CLAS_01,01 IT-ET Glut,0.9700,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.3500,CS20230722_SUPT_0047,0047 IT AON-TT-DP Glut_2,0.4600,CS20230722_CLUS_0174,0174 IT AON-TT-DP Glut_2,290,0.4300
MC_SC_17_s03L_41,CS20230722_CLAS_01,01 IT-ET Glut,0.4500,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.2300,CS20230722_SUPT_0027,0027 L4/5 IT CTX Glut_5,0.2600,CS20230722_CLUS_0095,0095 L4/5 IT CTX Glut_5,171,0.2500
MC_SC_17_s03L_42,CS20230722_CLAS_24,24 MY Glut,0.4000,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3200,CS20230722_SUPT_0961,0961 NTS Phox2b Glut_3,0.3800,CS20230722_CLUS_4245,4245 NTS Phox2b Glut_3,3940,0.1800
MC_SC_17_s03L_43,CS20230722_CLAS_24,24 MY Glut,0.3400,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.4900,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.5800,CS20230722_CLUS_4291,4291 NTS Phox2b Glut_8,4263,0.3700
MC_SC_17_s03L_44,CS20230722_CLAS_24,24 MY Glut,0.3300,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.4200,CS20230722_SUPT_0966,0966 NTS Phox2b Glut_8,0.4500,CS20230722_CLUS_4291,4291 NTS Phox2b Glut_8,4263,0.2900
MC_SC_17_s03L_45,CS20230722_CLAS_01,01 IT-ET Glut,0.3500,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.4600,CS20230722_SUPT_0047,0047 IT AON-TT-DP Glut_2,0.6100,CS20230722_CLUS_0174,0174 IT AON-TT-DP Glut_2,290,0.4700
MC_SC_17_s03L_46,CS20230722_CLAS_01,01 IT-ET Glut,0.4300,CS20230722_SUBC_007,007 L2/3 IT CTX Glut,0.2400,CS20230722_SUPT_0030,0030 L2/3 IT CTX Glut_2,0.8400,CS20230722_CLUS_0108,0108 L2/3 IT CTX Glut_2,150,0.4700
MC_SC_17_s03L_47,CS20230722_CLAS_01,01 IT-ET Glut,0.4300,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.2400,CS20230722_SUPT_0025,0025 L4/5 IT CTX Glut_3,0.1700,CS20230722_CLUS_0087,0087 L4/5 IT CTX Glut_3,172,0.1200
MC_SC_17_s03L_48,CS20230722_CLAS_01,01 IT-ET Glut,0.3800,CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,0.3000,CS20230722_SUPT_0045,0045 L2/3 IT PIR-ENTl Glut_7,0.4700,CS20230722_CLUS_0165,0165 L2/3 IT PIR-ENTl Glut_7,270,0.4100
MC_SC_17_s03L_49,CS20230722_CLAS_01,01 IT-ET Glut,0.5300,CS20230722_SUBC_023,023 SUB-ProS Glut,0.1600,CS20230722_SUPT_0096,0096 SUB-ProS Glut_1,0.4600,CS20230722_CLUS_0387,0387 SUB-ProS Glut_1,372,0.3300
MC_SC_17_s03L_50,CS20230722_CLAS_24,24 MY Glut,0.4700,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.3000,CS20230722_SUPT_0959,0959 NTS Phox2b Glut_1,0.5000,CS20230722_CLUS_4230,4230 NTS Phox2b Glut_1,3901,0.2400
MC_SC_17_s03L_51,CS20230722_CLAS_24,24 MY Glut,0.4000,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.5300,CS20230722_SUPT_0961,0961 NTS Phox2b Glut_3,0.4300,CS20230722_CLUS_4254,4254 NTS Phox2b Glut_3,3956,0.4100
MC_SC_17_s03L_52,CS20230722_CLAS_01,01 IT-ET Glut,0.4800,CS20230722_SUBC_001,001 CLA-EPd-CTX Car3 Glut,0.2100,CS20230722_SUPT_0001,0001 CLA-EPd-CTX Car3 Glut_1,0.9300,CS20230722_CLUS_0003,0003 CLA-EPd-CTX Car3 Glut_1,130,0.4800
MC_SC_17_s03L_53,CS20230722_CLAS_01,01 IT-ET Glut,0.5000,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.2300,CS20230722_SUPT_0024,0024 L4/5 IT CTX Glut_2,0.4600,CS20230722_CLUS_0080,0080 L4/5 IT CTX Glut_2,186,0.4200
MC_SC_17_s03L_54,CS20230722_CLAS_24,24 MY Glut,0.4000,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.4000,CS20230722_SUPT_0968,0968 NTS Phox2b Glut_10,0.2600,CS20230722_CLUS_4306,4306 NTS Phox2b Glut_10,4149,0.2600
MC_SC_17_s03L_55,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.4900,CS20230722_SUPT_0048,0048 IT AON-TT-DP Glut_3,0.6800,CS20230722_CLUS_0177,0177 IT AON-TT-DP Glut_3,296,0.2100
MC_SC_17_s03L_56,CS20230722_CLAS_24,24 MY Glut,0.4000,CS20230722_SUBC_238,238 NTS Phox2b Glut,0.4100,CS20230722_SUPT_0961,0961 NTS Phox2b Glut_3,0.7300,CS20230722_CLUS_4254,4254 NTS Phox2b Glut_3,3956,0.2900
MC_SC_17_s03L_57,CS20230722_CLAS_01,01 IT-ET Glut,0.3700,CS20230722_SUBC_006,006 L4/5 IT CTX Glut,0.2600,CS20230722_SUPT_0027,0027 L4/5 IT CTX Glut_5,0.3600,CS20230722_CLUS_0095,0095 L4/5 IT CTX Glut_5,171,0.3400
MC_SC_17_s03L_58,CS20230722_CLAS_01,01 IT-ET Glut,0.4500,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.2500,CS20230722_SUPT_0046,0046 IT AON-TT-DP Glut_1,0.3200,CS20230722_CLUS_0168,0168 IT AON-TT-DP Glut_1,269,0.3000
MC_SC_17_s03L_59,CS20230722_CLAS_01,01 IT-ET Glut,0.5400,CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,0.1800,CS20230722_SUPT_0040,0040 L2/3 IT PIR-ENTl Glut_2,0.4900,CS20230722_CLUS_0144,0144 L2/3 IT PIR-ENTl Glut_2,271,0.2800
MC_SC_17_s03L_60,CS20230722_CLAS_01,01 IT-ET Glut,0.4400,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.8000,CS20230722_SUPT_0050,0050 IT AON-TT-DP Glut_5,0.4000,CS20230722_CLUS_0185,0185 IT AON-TT-DP Glut_5,287,0.3300
MC_SC_17_s03L_61,CS20230722_CLAS_01,01 IT-ET Glut,0.5300,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.6100,CS20230722_SUPT_0049,0049 IT AON-TT-DP Glut_4,0.3100,CS20230722_CLUS_0180,0180 IT AON-TT-DP Glut_4,285,0.2800
MC_SC_17_s03L_62,CS20230722_CLAS_01,01 IT-ET Glut,0.4700,CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,0.2000,CS20230722_SUPT_0040,0040 L2/3 IT PIR-ENTl Glut_2,0.6300,CS20230722_CLUS_0144,0144 L2/3 IT PIR-ENTl Glut_2,271,0.3000
MC_SC_17_s03L_63,CS20230722_CLAS_01,01 IT-ET Glut,0.9500,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.4300,CS20230722_SUPT_0048,0048 IT AON-TT-DP Glut_3,0.6000,CS20230722_CLUS_0175,0175 IT AON-TT-DP Glut_3,294,0.3600
MC_SC_17_s03L_64,CS20230722_CLAS_01,01 IT-ET Glut,0.4400,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.3400,CS20230722_SUPT_0049,0049 IT AON-TT-DP Glut_4,0.3800,CS20230722_CLUS_0179,0179 IT AON-TT-DP Glut_4,282,0.2600
MC_SC_17_s03L_65,CS20230722_CLAS_23,23 P Glut,0.3100,CS20230722_SUBC_229,229 PB-NTS Phox2b Ebf3 Lmx1b Glut,0.3400,CS20230722_SUPT_0944,0944 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,0.9400,CS20230722_CLUS_4167,4167 PB-NTS Phox2b Ebf3 Lmx1b Glut_2,4325,0.4300
MC_SC_17_s03L_66,CS20230722_CLAS_01,01 IT-ET Glut,0.8800,CS20230722_SUBC_009,009 L2/3 IT PIR-ENTl Glut,0.2000,CS20230722_SUPT_0040,0040 L2/3 IT PIR-ENTl Glut_2,0.7300,CS20230722_CLUS_0146,0146 L2/3 IT PIR-ENTl Glut_2,273,0.2600
MC_SC_17_s03L_67,CS20230722_CLAS_24,24 MY Glut,0.3800,CS20230722_SUBC_247,247 MV-SPIV Phox2b Ebf3 Lbx1 Glut,0.2600,CS20230722_SUPT_0994,0994 MV-SPIV Phox2b Ebf3 Lbx1 Glut_3,0.3900,CS20230722_CLUS_4487,4487 MV-SPIV Phox2b Ebf3 Lbx1 Glut_3,4320,0.3900
MC_SC_17_s03L_68,CS20230722_CLAS_01,01 IT-ET Glut,0.5800,CS20230722_SUBC_014,014 LA-BLA-BMA-PA Glut,0.3300,CS20230722_SUPT_0060,0060 LA-BLA-BMA-PA Glut_1,0.8300,CS20230722_CLUS_0226,0226 LA-BLA-BMA-PA Glut_1,447,0.5900
MC_SC_17_s03L_69,CS20230722_CLAS_01,01 IT-ET Glut,0.5500,CS20230722_SUBC_010,010 IT AON-TT-DP Glut,0.3800,CS20230722_SUPT_0046,0046 IT AON-TT-DP Glut_1,0.2800,CS20230722_CLUS_0168,0168 IT AON-TT-DP Glut_1,269,0.2700
MC_SC_17_s03L_70,CS20230722_CLAS_01,01 IT-ET Glut,0.4600,CS20230722_SUBC_017,017 CA3 Glut,0.1500,CS20230722_SUPT_0077,0077 CA3 Glut_3,0.4000,CS20230722_CLUS_0310,0310 CA3 Glut_3,434,0.2800
MC_SC_17_s03L_71,CS20230722_CLAS_01,01 IT-ET Glut,0.8600,CS20230722_SUBC_012,012 MEA Slc17a7 Glut,0.3800,CS20230722_SUPT_0056,0056 MEA Slc17a7 Glut_2,0.9200,CS20230722_CLUS_0206,0206 MEA Slc17a7 Glut_2,2548,0.4700
